SID,LAT,LON,Time
1979126N07090,7.00000,89.9000,294753600.0
1979126N07090,6.99739,89.9049,294764400.0
1979126N07090,6.99582,89.8825,294775200.0
1979126N07090,6.99635,89.8122,294786000.0
1979126N07090,7.00000,89.7000,294796800.0
1979126N07090,7.00229,89.5650,294807600.0
1979126N07090,7.01667,89.3983,294818400.0
1979126N07090,7.05938,89.2058,294829200.0
1979126N07090,7.10000,89.0000,294840000.0
1979126N07090,7.11547,88.8119,294850800.0
1979126N07090,7.11743,88.6200,294861600.0
1979126N07090,7.13063,88.4382,294872400.0
1979126N07090,7.10000,88.2000,294883200.0
1979126N07090,6.98085,87.8251,294894000.0
1979126N07090,6.81763,87.4066,294904800.0
1979126N07090,6.66562,87.0114,294915600.0
1979126N07090,6.50000,86.7000,294926400.0
1979126N07090,6.30117,86.5474,294937200.0
1979126N07090,6.10161,86.4701,294948000.0
1979126N07090,5.92788,86.3777,294958800.0
1979126N07090,5.80000,86.3000,294969600.0
1979126N07090,5.71635,86.2420,294980400.0
1979126N07090,5.69083,86.1858,294991200.0
1979126N07090,5.70823,86.1001,295002000.0
1979126N07090,5.80000,86.0000,295012800.0
1979126N07090,5.95689,85.8961,295023600.0
1979126N07090,6.18836,85.7784,295034400.0
1979126N07090,6.46399,85.6248,295045200.0
1979126N07090,6.80000,85.5000,295056000.0
1979126N07090,7.17208,85.4814,295066800.0
1979126N07090,7.60333,85.4906,295077600.0
1979126N07090,8.08124,85.4728,295088400.0
1979126N07090,8.60000,85.4000,295099200.0
1979126N07090,9.14763,85.2292,295110000.0
1979126N07090,9.71253,85.0127,295120800.0
1979126N07090,10.2862,84.7998,295131600.0
1979126N07090,10.8000,84.6000,295142400.0
1979126N07090,11.1936,84.4427,295153200.0
1979126N07090,11.5158,84.2999,295164000.0
1979126N07090,11.8284,84.1520,295174800.0
1979126N07090,12.1000,84.0000,295185600.0
1979126N07090,12.3201,83.8547,295196400.0
1979126N07090,12.5216,83.6840,295207200.0
1979126N07090,12.7489,83.4629,295218000.0
1979126N07090,13.0000,83.2000,295228800.0
1979126N07090,13.2963,82.9151,295239600.0
1979126N07090,13.5958,82.5985,295250400.0
1979126N07090,13.8757,82.2560,295261200.0
1979126N07090,14.1000,81.9000,295272000.0
1979126N07090,14.2250,81.5413,295282800.0
1979126N07090,14.3051,81.1823,295293600.0
1979126N07090,14.3876,80.8170,295304400.0
1979126N07090,14.5000,80.5000,295315200.0
1979126N07090,14.6853,80.2671,295326000.0
1979126N07090,14.9116,80.1034,295336800.0
1979126N07090,15.1637,79.9813,295347600.0
1979126N07090,15.4000,79.9000,295358400.0
1979126N07090,15.5590,79.8340,295369200.0
1979126N07090,15.6925,79.7874,295380000.0
1979126N07090,15.8297,79.7421,295390800.0
1979126N07090,16.0000,79.7000,295401600.0
1979126N07090,16.2270,79.6534,295412400.0
1979126N07090,16.5108,79.6167,295423200.0
1979126N07090,16.8426,79.6017,295434000.0
1979126N07090,17.2000,79.6000,295444800.0
1979167N13071,13.3000,70.6000,298339200.0
1979167N13071,13.6515,70.4481,298350000.0
1979167N13071,13.9884,70.2802,298360800.0
1979167N13071,14.3011,70.0889,298371600.0
1979167N13071,14.6000,69.9000,298382400.0
1979167N13071,14.8996,69.7469,298393200.0
1979167N13071,15.1974,69.5931,298404000.0
1979167N13071,15.4915,69.4060,298414800.0
1979167N13071,15.8000,69.2000,298425600.0
1979167N13071,16.1508,69.0157,298436400.0
1979167N13071,16.5147,68.7900,298447200.0
1979167N13071,16.8811,68.4941,298458000.0
1979167N13071,17.2000,68.1000,298468800.0
1979167N13071,17.4332,67.5886,298479600.0
1979167N13071,17.5971,67.0008,298490400.0
1979167N13071,17.7191,66.3859,298501200.0
1979167N13071,17.8000,65.8000,298512000.0
1979167N13071,17.8641,65.3255,298522800.0
1979167N13071,17.9096,64.8923,298533600.0
1979167N13071,17.9550,64.4529,298544400.0
1979167N13071,18.0000,64.0000,298555200.0
1979167N13071,18.0471,63.5151,298566000.0
1979167N13071,18.0947,63.0148,298576800.0
1979167N13071,18.1398,62.5221,298587600.0
1979167N13071,18.2000,62.0000,298598400.0
1979167N13071,18.2931,61.4076,298609200.0
1979167N13071,18.4003,60.7877,298620000.0
1979167N13071,18.5073,60.1690,298630800.0
1979167N13071,18.6000,59.6000,298641600.0
1979167N13071,18.6620,59.1157,298652400.0
1979167N13071,18.7082,58.7166,298663200.0
1979167N13071,18.7535,58.3891,298674000.0
1979167N13071,18.8000,58.1000,298684800.0
1979205N10148,10.2000,147.800,301644000.0
1979205N10148,10.2608,147.332,301654800.0
1979205N10148,10.3000,146.900,301665600.0
1979205N10148,10.3069,146.528,301676400.0
1979205N10148,10.3109,146.189,301687200.0
1979205N10148,10.3360,145.845,301698000.0
1979205N10148,10.3308,145.538,301708800.0
1979205N10148,10.4408,145.228,301719600.0
1979205N10148,10.6026,144.891,301730400.0
1979205N10148,10.7602,144.493,301741200.0
1979205N10148,10.9235,144.071,301752000.0
1979205N10148,11.0250,143.767,301762800.0
1979205N10148,11.0826,143.450,301773600.0
1979205N10148,11.1079,143.003,301784400.0
1979205N10148,11.1400,142.500,301795200.0
1979205N10148,11.1962,142.037,301806000.0
1979205N10148,11.3236,141.592,301816800.0
1979205N10148,11.5696,141.164,301827600.0
1979205N10148,11.8600,140.760,301838400.0
1979205N10148,12.0833,140.325,301849200.0
1979205N10148,12.3419,140.025,301860000.0
1979205N10148,12.7022,140.027,301870800.0
1979205N10148,13.1200,140.100,301881600.0
1979205N10148,13.5598,140.022,301892400.0
1979205N10148,14.0044,139.851,301903200.0
1979205N10148,14.4217,139.605,301914000.0
1979205N10148,14.8000,139.280,301924800.0
1979205N10148,15.1138,138.890,301935600.0
1979205N10148,15.4207,138.483,301946400.0
1979205N10148,15.8013,138.115,301957200.0
1979205N10148,16.1619,137.800,301968000.0
1979205N10148,16.4166,137.579,301978800.0
1979205N10148,16.5946,137.366,301989600.0
1979205N10148,16.7457,137.090,302000400.0
1979205N10148,16.8500,136.783,302011200.0
1979205N10148,16.8701,136.456,302022000.0
1979205N10148,16.8246,136.150,302032800.0
1979205N10148,16.7377,135.897,302043600.0
1979205N10148,16.6500,135.700,302054400.0
1979205N10148,16.6199,135.587,302065200.0
1979205N10148,16.6066,135.443,302076000.0
1979205N10148,16.5749,135.143,302086800.0
1979205N10148,16.5667,134.783,302097600.0
1979205N10148,16.6073,134.460,302108400.0
1979205N10148,16.6816,134.135,302119200.0
1979205N10148,16.7646,133.800,302130000.0
1979205N10148,16.8667,133.450,302140800.0
1979205N10148,16.9738,133.095,302151600.0
1979205N10148,17.1053,132.705,302162400.0
1979205N10148,17.2577,132.272,302173200.0
1979205N10148,17.4500,131.783,302184000.0
1979205N10148,17.6823,131.254,302194800.0
1979205N10148,17.9615,130.669,302205600.0
1979205N10148,18.2833,130.050,302216400.0
1979205N10148,18.6167,129.367,302227200.0
1979205N10148,18.9282,128.610,302238000.0
1979205N10148,19.2026,127.807,302248800.0
1979205N10148,19.4074,127.000,302259600.0
1979205N10148,19.6000,126.200,302270400.0
1979205N10148,19.8439,125.434,302281200.0
1979205N10148,20.1009,124.682,302292000.0
1979205N10148,20.3586,123.933,302302800.0
1979205N10148,20.5833,123.183,302313600.0
1979205N10148,20.7141,122.428,302324400.0
1979205N10148,20.8617,121.667,302335200.0
1979205N10148,21.1526,120.918,302346000.0
1979205N10148,21.4500,120.117,302356800.0
1979205N10148,21.6163,119.206,302367600.0
1979205N10148,21.7628,118.261,302378400.0
1979205N10148,21.9921,117.401,302389200.0
1979205N10148,22.2167,116.467,302400000.0
1979205N10148,22.3805,115.310,302410800.0
1979205N10148,22.4902,114.098,302421600.0
1979205N10148,22.5680,112.992,302432400.0
1979205N10148,22.5833,111.933,302443200.0
1979205N10148,22.5482,110.893,302454000.0
1979205N10148,22.4275,109.879,302464800.0
1979205N10148,22.2135,108.899,302475600.0
1979205N10148,21.9333,107.917,302486400.0
1979205N10148,21.6130,106.881,302497200.0
1979205N10148,21.3445,105.788,302508000.0
1979205N10148,21.1293,104.668,302518800.0
1979205N10148,20.9389,103.639,302529600.0
1979205N10148,20.7592,102.864,302540400.0
1979205N10148,20.6283,102.253,302551200.0
1979205N10148,20.5340,101.607,302562000.0
1979205N10148,20.4750,100.925,302572800.0
1979205N10148,20.4254,100.143,302583600.0
1979205N10148,20.4417,99.3426,302594400.0
1979205N10148,20.4717,98.6511,302605200.0
1979205N10148,20.5692,97.9846,302616000.0
1979205N10148,20.7811,97.2838,302626800.0
1979205N10148,20.9042,96.6686,302637600.0
1979205N10148,21.0467,96.0125,302648400.0
1979205N10148,21.2000,95.4000,302659200.0
1979205N10148,21.3447,94.9067,302670000.0
1979205N10148,21.4805,94.4582,302680800.0
1979205N10148,21.5791,93.9687,302691600.0
1979205N10148,21.7000,93.5000,302702400.0
1979205N10148,21.9285,93.0800,302713200.0
1979205N10148,22.1482,92.6993,302724000.0
1979205N10148,22.2569,92.3357,302734800.0
1979205N10148,22.3000,92.0000,302745600.0
1979205N10148,22.3237,91.6863,302756400.0
1979205N10148,22.0486,91.1319,302767200.0
1979205N10148,21.8536,90.7253,302778000.0
1979205N10148,21.6915,90.4075,302788800.0
1979205N10148,21.5384,90.1453,302799600.0
1979205N10148,21.4724,89.9441,302810400.0
1979205N10148,21.4467,89.7342,302821200.0
1979205N10148,21.4487,89.5029,302832000.0
1979205N10148,21.4628,89.2475,302842800.0
1979205N10148,21.4945,88.9600,302853600.0
1979205N10148,21.5305,88.6569,302864400.0
1979205N10148,21.5937,88.2994,302875200.0
1979205N10148,21.7006,87.8565,302886000.0
1979205N10148,21.8334,87.3802,302896800.0
1979205N10148,21.9679,86.9438,302907600.0
1979205N10148,22.1033,86.4959,302918400.0
1979205N10148,22.2368,86.0071,302929200.0
1979205N10148,22.3304,85.4967,302940000.0
1979205N10148,22.4091,84.9556,302950800.0
1979205N10148,22.5040,84.3639,302961600.0
1979205N10148,22.6587,83.6956,302972400.0
1979205N10148,22.8000,83.1000,302983200.0
1979205N10148,22.9103,82.5385,302994000.0
1979205N10148,23.0189,81.9923,303004800.0
1979205N10148,23.1593,81.4448,303015600.0
1979205N10148,23.3000,80.9000,303026400.0
1979205N10148,23.4095,80.3440,303037200.0
1979205N10148,23.5191,79.8017,303048000.0
1979205N10148,23.6606,79.2850,303058800.0
1979205N10148,23.8000,78.8000,303069600.0
1979205N10148,23.9079,78.3378,303080400.0
1979205N10148,24.0034,77.9176,303091200.0
1979205N10148,24.1006,77.5453,303102000.0
1979205N10148,24.2000,77.2000,303112800.0
1979259N11078,10.5000,78.0000,306288000.0
1979259N11078,10.6557,77.5946,306298800.0
1979259N11078,10.8002,77.1885,306309600.0
1979259N11078,10.9214,76.7849,306320400.0
1979259N11078,11.0000,76.4000,306331200.0
1979259N11078,11.0174,76.0437,306342000.0
1979259N11078,11.0165,75.7140,306352800.0
1979259N11078,11.0440,75.4139,306363600.0
1979259N11078,11.1000,75.1000,306374400.0
1979259N11078,11.1916,74.7033,306385200.0
1979259N11078,11.3118,74.2943,306396000.0
1979259N11078,11.4628,73.9098,306406800.0
1979259N11078,11.6000,73.6000,306417600.0
1979259N11078,11.6626,73.4142,306428400.0
1979259N11078,11.7115,73.3132,306439200.0
1979259N11078,11.7913,73.2638,306450000.0
1979259N11078,11.9000,73.2000,306460800.0
1979259N11078,12.0374,73.0229,306471600.0
1979259N11078,12.2042,72.8192,306482400.0
1979259N11078,12.3955,72.6476,306493200.0
1979259N11078,12.6000,72.5000,306504000.0
1979259N11078,12.7976,72.3868,306514800.0
1979259N11078,12.9975,72.2783,306525600.0
1979259N11078,13.1986,72.1389,306536400.0
1979259N11078,13.4000,72.0000,306547200.0
1979259N11078,13.6027,71.8916,306558000.0
1979259N11078,13.8050,71.7833,306568800.0
1979259N11078,14.0098,71.6417,306579600.0
